,Filler,Finish,Grills,Norton Misc.,Numbers,Prefinished Flooring,Sandpaper,Sandpaper-Belts,Sandpaper-Buffer,Sandpaper-Edger,Sandpaper-Screens,Stair Treads,Unfinished Flooring,Unfinished Trim
2019-04-25,3511.2940000000003,59868.12399999999,4393.664999999999,164.832,17693.753000000004,74228.871,5658.626,5088.965999999999,3155.448000000001,9605.739000000001,5163.964000000001,1971.9859999999999,90703.83,15820.705000000004
2019-04-26,3493.3960000000006,59753.003999999986,4147.5779999999995,164.832,17693.753000000004,74481.563,5658.626,5088.965999999999,3119.3170000000005,9605.739000000001,5163.964000000001,1971.9859999999999,90703.83,15748.912000000004
2019-04-27,3290.7280000000005,58979.289999999986,4094.704,164.832,17693.753000000004,74481.563,5658.626,4999.673,3087.7450000000003,9490.888,5034.242000000001,1971.9859999999999,90703.83,15584.152000000004
2019-04-28,3290.7280000000005,58979.289999999986,4094.704,164.832,17693.753000000004,74481.563,5658.626,4999.673,3087.7450000000003,9490.888,5034.242000000001,1971.9859999999999,90703.83,15584.152000000004
2019-04-29,3290.7280000000005,58979.289999999986,4094.704,164.832,17693.753000000004,74481.563,5658.626,4999.673,3087.7450000000003,9490.888,5034.242000000001,1971.9859999999999,90703.83,15584.152000000004
2019-04-30,3290.7280000000005,58121.19799999999,4004.068,164.832,17693.753000000004,74481.563,5658.626,4973.865,3087.7450000000003,9490.888,5034.242000000001,1971.9859999999999,90703.83,15560.817000000005
2019-05-01,3254.3760000000007,56820.53399999999,3986.444,164.832,17693.753000000004,74481.563,5641.943,4891.861,3083.007,9404.888,5034.242000000001,1971.9859999999999,90649.879,15503.296000000004
2019-05-02,3218.6750000000006,55814.83499999999,3930.734,164.832,17693.753000000004,74481.563,5550.382,5102.660999999999,3074.6260000000007,9458.888,5188.442000000001,1971.9859999999999,90859.738,15428.514000000003
2019-05-03,3251.9270000000006,56815.43,4451.724999999999,164.832,17660.683,72342.672,5471.382,4987.8189999999995,3022.3860000000004,9450.612000000001,5088.055000000001,1971.9859999999999,85603.604,15286.066000000003
2019-05-04,3143.310000000001,59399.651999999995,4347.256,164.832,17221.733000000004,72342.672,5471.382,4937.131,3014.8560000000007,9473.570000000002,5033.225000000001,1971.9859999999999,85321.02,15315.547000000002
2019-05-05,3143.310000000001,59399.651999999995,4347.256,164.832,17221.733000000004,72342.672,5471.382,4937.131,3014.8560000000007,9473.570000000002,5033.225000000001,1971.9859999999999,85321.02,15315.547000000002
2019-05-06,3143.310000000001,59399.651999999995,4347.256,164.832,17221.733000000004,72342.672,5471.382,4937.131,3014.8560000000007,9473.570000000002,5033.225000000001,1971.9859999999999,85321.02,15315.547000000002
